"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.586207,0.623853,0.604444
1,RandomForest,1,0.713311,0.853061,0.776952
2,RandomForest,2,0.732394,0.629032,0.676790
3,RandomForest,3,0.705882,0.623377,0.662069
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.579310,0.702929,0.635161
6,RandomForest,1,0.678082,0.849785,0.754286
7,RandomForest,2,0.866667,0.621514,0.723898
8,RandomForest,3,0.727273,0.607595,0.662069
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.658537,0.661224,0.659878
11,RandomForest,1,0.747508,0.892857,0.813743
12,RandomForest,2,0.740000,0.678899,0.708134
13,RandomForest,3,0.784483,0.689394,0.733871
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.643382,0.708502,0.674374
16,RandomForest,1,0.736842,0.875000,0.800000
17,RandomForest,2,0.732143,0.661290,0.694915
18,RandomForest,3,0.701657,0.559471,0.622549
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.620833,0.593625,0.606925
21,RandomForest,1,0.646497,0.882609,0.746324
22,RandomForest,2,0.809783,0.634043,0.711217
23,RandomForest,3,0.744292,0.676349,0.708696
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.321429,0.123853,0.178808
26,SVM,1,0.296034,0.853061,0.439537
27,SVM,2,0.288136,0.068548,0.110749
28,SVM,3,0.266129,0.142857,0.185915
29,SVM,4,0.955947,0.841085,0.894845
30,SVM,0,0.289474,0.184100,0.225064
31,SVM,1,0.278873,0.849785,0.419936
32,SVM,2,0.321429,0.035857,0.064516
33,SVM,3,0.341176,0.122363,0.180124
34,SVM,4,0.937778,0.879167,0.907527
35,SVM,0,0.310924,0.151020,0.203297
36,SVM,1,0.292717,0.829365,0.432712
37,SVM,2,0.271930,0.142202,0.186747
38,SVM,3,0.409091,0.068182,0.116883
39,SVM,4,0.933014,0.882353,0.906977
40,SVM,0,0.304348,0.113360,0.165192
41,SVM,1,0.294461,0.841667,0.436285
42,SVM,2,0.300000,0.048387,0.083333
43,SVM,3,0.205128,0.140969,0.167102
44,SVM,4,0.915929,0.869748,0.892241
45,SVM,0,0.303704,0.163347,0.212435
46,SVM,1,0.273121,0.821739,0.409978
47,SVM,2,0.309859,0.093617,0.143791
48,SVM,3,0.362500,0.120332,0.180685
49,SVM,4,0.936937,0.855967,0.894624
50,NaiveBayes,0,0.134328,0.041284,0.063158
51,NaiveBayes,1,0.274563,0.832653,0.412955
52,NaiveBayes,2,0.352273,0.125000,0.184524
53,NaiveBayes,3,0.113636,0.086580,0.098280
