"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.526252,0.609618,0.564875
1,RandomForest,1,0.583433,0.675000,0.625885
2,RandomForest,2,0.696284,0.582432,0.634290
3,RandomForest,3,0.675941,0.577622,0.622926
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.532819,0.587234,0.558704
6,RandomForest,1,0.593160,0.696676,0.640764
7,RandomForest,2,0.712418,0.591588,0.646405
8,RandomForest,3,0.711507,0.636232,0.671767
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.530562,0.591281,0.559278
11,RandomForest,1,0.565953,0.706048,0.628285
12,RandomForest,2,0.712803,0.570637,0.633846
13,RandomForest,3,0.686786,0.578297,0.627890
14,RandomForest,4,1.000000,0.998582,0.999290
15,RandomForest,0,0.544320,0.577483,0.560411
16,RandomForest,1,0.571263,0.682825,0.622082
17,RandomForest,2,0.618364,0.635693,0.626909
18,RandomForest,3,0.749529,0.540027,0.627760
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.508353,0.609442,0.554327
21,RandomForest,1,0.585311,0.714483,0.643478
22,RandomForest,2,0.711221,0.596127,0.648608
23,RandomForest,3,0.750000,0.563014,0.643192
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.271552,0.089109,0.134185
26,SVM,1,0.283270,0.827778,0.422096
27,SVM,2,0.282609,0.052703,0.088838
28,SVM,3,0.259635,0.179021,0.211921
29,SVM,4,0.941548,0.830084,0.882309
30,SVM,0,0.344130,0.120567,0.178571
31,SVM,1,0.289197,0.837950,0.429993
32,SVM,2,0.326316,0.084125,0.133765
33,SVM,3,0.244845,0.137681,0.176252
34,SVM,4,0.942899,0.863271,0.901330
35,SVM,0,0.259615,0.073569,0.114650
36,SVM,1,0.283892,0.845288,0.425035
37,SVM,2,0.248000,0.171745,0.202946
38,SVM,3,0.248408,0.053571,0.088136
39,SVM,4,0.946602,0.829787,0.884354
40,SVM,0,0.279621,0.078146,0.122153
41,SVM,1,0.286814,0.825485,0.425714
42,SVM,2,0.220532,0.171091,0.192691
43,SVM,3,0.322148,0.065129,0.108352
44,SVM,4,0.937107,0.841808,0.886905
