"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.236559,0.302752,0.265594
1,RandomForest,1,0.382353,0.371429,0.376812
2,RandomForest,2,0.316832,0.258065,0.284444
3,RandomForest,3,0.264574,0.255411,0.259912
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.233333,0.263598,0.247544
6,RandomForest,1,0.344697,0.390558,0.366197
7,RandomForest,2,0.243902,0.199203,0.219298
8,RandomForest,3,0.321267,0.299578,0.310044
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.284047,0.297959,0.290837
11,RandomForest,1,0.367273,0.400794,0.383302
12,RandomForest,2,0.244094,0.284404,0.262712
13,RandomForest,3,0.373057,0.272727,0.315098
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.240310,0.251012,0.245545
16,RandomForest,1,0.371542,0.391667,0.381339
17,RandomForest,2,0.195652,0.181452,0.188285
18,RandomForest,3,0.276018,0.268722,0.272321
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.313653,0.338645,0.325670
21,RandomForest,1,0.366142,0.404348,0.384298
22,RandomForest,2,0.250000,0.255319,0.252632
23,RandomForest,3,0.286458,0.228216,0.254042
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.228005,0.844037,0.359024
26,SVM,1,0.402439,0.134694,0.201835
27,SVM,2,0.500000,0.004032,0.008000
28,SVM,3,0.392157,0.086580,0.141844
29,SVM,4,1.000000,1.000000,1.000000
30,SVM,0,0.252591,0.815900,0.385757
31,SVM,1,0.279570,0.223176,0.248210
32,SVM,2,0.000000,0.000000,0.000000
33,SVM,3,0.500000,0.004219,0.008368
34,SVM,4,1.000000,1.000000,1.000000
35,SVM,0,0.000000,0.000000,0.000000
36,SVM,1,0.444444,0.095238,0.156863
37,SVM,2,0.222703,0.944954,0.360455
38,SVM,3,0.000000,0.000000,0.000000
39,SVM,4,1.000000,1.000000,1.000000
40,SVM,0,0.166667,0.004049,0.007905
41,SVM,1,0.377358,0.083333,0.136519
42,SVM,2,0.175000,0.084677,0.114130
43,SVM,3,0.233716,0.806167,0.362376
44,SVM,4,1.000000,1.000000,1.000000
