"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.270548,0.362385,0.309804
1,RandomForest,1,0.475771,0.440816,0.457627
2,RandomForest,2,0.316062,0.245968,0.276644
3,RandomForest,3,0.269565,0.268398,0.268980
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.262963,0.297071,0.278978
6,RandomForest,1,0.430962,0.442060,0.436441
7,RandomForest,2,0.295154,0.266932,0.280335
8,RandomForest,3,0.312500,0.295359,0.303688
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.333333,0.416327,0.370236
11,RandomForest,1,0.443636,0.484127,0.462998
12,RandomForest,2,0.223577,0.252294,0.237069
13,RandomForest,3,0.322368,0.185606,0.235577
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.270042,0.259109,0.264463
16,RandomForest,1,0.411765,0.466667,0.437500
17,RandomForest,2,0.208511,0.197581,0.202899
18,RandomForest,3,0.261468,0.251101,0.256180
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.300000,0.322709,0.310940
21,RandomForest,1,0.394834,0.465217,0.427146
22,RandomForest,2,0.241706,0.217021,0.228700
23,RandomForest,3,0.297561,0.253112,0.273543
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.234432,0.880734,0.370299
26,SVM,1,0.323810,0.138776,0.194286
27,SVM,2,0.000000,0.000000,0.000000
28,SVM,3,0.578947,0.047619,0.088000
29,SVM,4,1.000000,0.996124,0.998058
30,SVM,0,0.251046,0.753138,0.376569
31,SVM,1,0.246862,0.253219,0.250000
32,SVM,2,0.000000,0.000000,0.000000
33,SVM,3,0.500000,0.008439,0.016598
34,SVM,4,1.000000,1.000000,1.000000
35,SVM,0,0.000000,0.000000,0.000000
36,SVM,1,0.529412,0.035714,0.066914
37,SVM,2,0.221414,0.977064,0.361017
38,SVM,3,0.000000,0.000000,0.000000
39,SVM,4,1.000000,1.000000,1.000000
40,SVM,0,0.200000,0.004049,0.007937
41,SVM,1,0.360000,0.037500,0.067925
42,SVM,2,0.186992,0.092742,0.123989
43,SVM,3,0.232386,0.828194,0.362934
44,SVM,4,1.000000,1.000000,1.000000
45,SVM,0,0.000000,0.000000,0.000000
46,SVM,1,0.234153,0.786957,0.360917
47,SVM,2,0.217877,0.165957,0.188406
48,SVM,3,0.200000,0.004149,0.008130
49,SVM,4,1.000000,1.000000,1.000000
50,NaiveBayes,0,0.201342,0.137615,0.163488
51,NaiveBayes,1,0.266323,0.632653,0.374849
52,NaiveBayes,2,0.162162,0.072581,0.100279
53,NaiveBayes,3,0.315068,0.099567,0.151316
54,NaiveBayes,4,0.807018,0.891473,0.847145
55,NaiveBayes,0,0.230871,0.732218,0.351053
56,NaiveBayes,1,0.263889,0.081545,0.124590
57,NaiveBayes,2,0.259259,0.111554,0.155989
58,NaiveBayes,3,0.500000,0.004219,0.008368
59,NaiveBayes,4,0.830769,0.900000,0.864000
60,NaiveBayes,0,0.258120,0.616327,0.363855
61,NaiveBayes,1,0.244186,0.166667,0.198113
62,NaiveBayes,2,0.000000,0.000000,0.000000
63,NaiveBayes,3,0.252688,0.178030,0.208889
64,NaiveBayes,4,0.798419,0.914027,0.852321
65,NaiveBayes,0,0.378378,0.056680,0.098592
66,NaiveBayes,1,0.500000,0.004167,0.008264
67,NaiveBayes,2,0.197861,0.149194,0.170115
68,NaiveBayes,3,0.224161,0.735683,0.343621
69,NaiveBayes,4,0.917031,0.882353,0.899358
70,NaiveBayes,0,0.000000,0.000000,0.000000
71,NaiveBayes,1,0.181102,0.100000,0.128852
72,NaiveBayes,2,0.210811,0.165957,0.185714
73,NaiveBayes,3,0.230534,0.626556,0.337054
74,NaiveBayes,4,0.918455,0.880658,0.899160
75,KNN,0,0.279762,0.431193,0.339350
76,KNN,1,0.326087,0.367347,0.345489
77,KNN,2,0.321053,0.245968,0.278539
78,KNN,3,0.241611,0.155844,0.189474
79,KNN,4,1.000000,0.965116,0.982249
80,KNN,0,0.279570,0.435146,0.340426
81,KNN,1,0.328125,0.360515,0.343558
82,KNN,2,0.247525,0.199203,0.220751
83,KNN,3,0.265152,0.147679,0.189702
84,KNN,4,1.000000,0.991667,0.995816
85,KNN,0,0.252595,0.297959,0.273408
86,KNN,1,0.305556,0.392857,0.343750
87,KNN,2,0.194444,0.192661,0.193548
88,KNN,3,0.264151,0.159091,0.198582
89,KNN,4,1.000000,0.959276,0.979215
90,KNN,0,0.270270,0.323887,0.294659
91,KNN,1,0.332278,0.437500,0.377698
92,KNN,2,0.267327,0.217742,0.240000
93,KNN,3,0.226667,0.149780,0.180371
