"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.541284,0.536364,0.538813
1,RandomForest,1,0.513793,0.768041,0.615702
2,RandomForest,2,0.706849,0.600000,0.649057
3,RandomForest,3,0.711246,0.517699,0.599232
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.519231,0.578571,0.547297
6,RandomForest,1,0.586142,0.701794,0.638776
7,RandomForest,2,0.617571,0.574519,0.595268
8,RandomForest,3,0.707692,0.532407,0.607662
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.529412,0.613139,0.568207
11,RandomForest,1,0.631783,0.705628,0.666667
12,RandomForest,2,0.631868,0.552885,0.589744
13,RandomForest,3,0.694823,0.587558,0.636704
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.568579,0.526559,0.546763
16,RandomForest,1,0.529617,0.736077,0.616008
17,RandomForest,2,0.642686,0.575107,0.607022
18,RandomForest,3,0.644258,0.526316,0.579345
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.567850,0.596491,0.581818
21,RandomForest,1,0.605607,0.718404,0.657201
22,RandomForest,2,0.680912,0.553241,0.610473
23,RandomForest,3,0.630607,0.590123,0.609694
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.268750,0.097727,0.143333
26,SVM,1,0.248841,0.829897,0.382878
27,SVM,2,0.289796,0.165116,0.210370
28,SVM,3,0.310811,0.050885,0.087452
29,SVM,4,0.974160,0.837778,0.900836
30,SVM,0,0.295775,0.100000,0.149466
31,SVM,1,0.299453,0.858744,0.444058
32,SVM,2,0.259124,0.170673,0.205797
33,SVM,3,0.293333,0.050926,0.086785
34,SVM,4,0.958974,0.838565,0.894737
35,SVM,0,0.248619,0.109489,0.152027
36,SVM,1,0.310008,0.824675,0.450621
37,SVM,2,0.279874,0.213942,0.242507
38,SVM,3,0.340000,0.039171,0.070248
39,SVM,4,0.939791,0.821510,0.876679
40,SVM,0,0.308140,0.122402,0.175207
41,SVM,1,0.268331,0.832930,0.405900
42,SVM,2,0.333333,0.051502,0.089219
43,SVM,3,0.272059,0.169336,0.208745
44,SVM,4,0.961326,0.846715,0.900388
45,SVM,0,0.267974,0.089912,0.134647
46,SVM,1,0.302716,0.840355,0.445097
47,SVM,2,0.271739,0.057870,0.095420
48,SVM,3,0.249191,0.190123,0.215686
49,SVM,4,0.980226,0.834135,0.901299
50,NaiveBayes,0,0.240000,0.054545,0.088889
51,NaiveBayes,1,0.240310,0.878866,0.377421
52,NaiveBayes,2,0.266667,0.018605,0.034783
53,NaiveBayes,3,0.092391,0.075221,0.082927
54,NaiveBayes,4,0.596708,0.322222,0.418470
55,NaiveBayes,0,0.238938,0.064286,0.101313
56,NaiveBayes,1,0.283528,0.872197,0.427943
57,NaiveBayes,2,0.222222,0.076923,0.114286
58,NaiveBayes,3,0.020576,0.011574,0.014815
59,NaiveBayes,4,0.559028,0.360987,0.438692
