0,RandomForest,0,0.641631,0.679545,0.660044
1,RandomForest,1,0.658759,0.930412,0.771368
2,RandomForest,2,0.789017,0.634884,0.703608
3,RandomForest,3,0.802857,0.621681,0.700748
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.610442,0.723810,0.662309
6,RandomForest,1,0.751402,0.901345,0.819572
7,RandomForest,2,0.779710,0.646635,0.706965
8,RandomForest,3,0.833333,0.648148,0.729167
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.629787,0.720195,0.671964
11,RandomForest,1,0.759704,0.889610,0.819541
12,RandomForest,2,0.744868,0.610577,0.671070
13,RandomForest,3,0.776280,0.663594,0.715528
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.614141,0.702079,0.655172
16,RandomForest,1,0.701754,0.871671,0.777538
17,RandomForest,2,0.772610,0.641631,0.701055
18,RandomForest,3,0.759887,0.615561,0.680152
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.661914,0.712719,0.686378
21,RandomForest,1,0.716783,0.909091,0.801564
22,RandomForest,2,0.767241,0.618056,0.684615
23,RandomForest,3,0.753754,0.619753,0.680217
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.280255,0.100000,0.147404
26,SVM,1,0.248447,0.824742,0.381862
27,SVM,2,0.303030,0.186047,0.230548
28,SVM,3,0.305085,0.039823,0.070450
29,SVM,4,0.956633,0.833333,0.890736
30,SVM,0,0.280822,0.097619,0.144876
31,SVM,1,0.299764,0.854260,0.443797
32,SVM,2,0.275362,0.182692,0.219653
33,SVM,3,0.397436,0.071759,0.121569
34,SVM,4,0.953728,0.831839,0.888623
35,SVM,0,0.274286,0.116788,0.163823
36,SVM,1,0.310204,0.822511,0.450504
37,SVM,2,0.273529,0.223558,0.246032
38,SVM,3,0.250000,0.025346,0.046025
39,SVM,4,0.949468,0.816934,0.878229
40,SVM,0,0.278788,0.106236,0.153846
41,SVM,1,0.267606,0.828087,0.404494
42,SVM,2,0.318182,0.030043,0.054902
43,SVM,3,0.250836,0.171625,0.203804
44,SVM,4,0.922460,0.839416,0.878981
45,SVM,0,0.263158,0.076754,0.118846
46,SVM,1,0.303371,0.838137,0.445492
47,SVM,2,0.292308,0.043981,0.076459
48,SVM,3,0.228986,0.195062,0.210667
49,SVM,4,0.932615,0.831731,0.879288
50,NaiveBayes,0,0.230769,0.054545,0.088235
51,NaiveBayes,1,0.240310,0.878866,0.377421
52,NaiveBayes,2,0.041152,0.023256,0.029718
53,NaiveBayes,3,0.243421,0.081858,0.122517
54,NaiveBayes,4,0.603306,0.324444,0.421965
55,NaiveBayes,0,0.271186,0.076190,0.118959
56,NaiveBayes,1,0.284773,0.872197,0.429360
57,NaiveBayes,2,0.076923,0.062500,0.068966
58,NaiveBayes,3,0.200000,0.020833,0.037736
59,NaiveBayes,4,0.556314,0.365471,0.441137
60,NaiveBayes,0,0.215517,0.060827,0.094877
61,NaiveBayes,1,0.286647,0.854978,0.429348
62,NaiveBayes,2,0.062069,0.043269,0.050992
63,NaiveBayes,3,0.248322,0.085253,0.126930
64,NaiveBayes,4,0.594714,0.308924,0.406627
65,NaiveBayes,0,0.240385,0.057737,0.093110
66,NaiveBayes,1,0.258019,0.876513,0.398678
67,NaiveBayes,2,0.047619,0.025751,0.033426
68,NaiveBayes,3,0.202797,0.066362,0.100000
69,NaiveBayes,4,0.503876,0.316302,0.388640
70,NaiveBayes,0,0.224638,0.067982,0.104377
71,NaiveBayes,1,0.279793,0.838137,0.419534
72,NaiveBayes,2,0.045161,0.032407,0.037736
73,NaiveBayes,3,0.224806,0.071605,0.108614
74,NaiveBayes,4,0.590517,0.329327,0.422840
75,KNN,0,0.378571,0.481818,0.424000
76,KNN,1,0.458462,0.768041,0.574181
77,KNN,2,0.493243,0.339535,0.402204
78,KNN,3,0.556962,0.292035,0.383164
79,KNN,4,1.000000,0.926667,0.961938
80,KNN,0,0.388034,0.540476,0.451741
81,KNN,1,0.488654,0.724215,0.583559
82,KNN,2,0.492857,0.331731,0.396552
83,KNN,3,0.539171,0.270833,0.360555
84,KNN,4,1.000000,0.934978,0.966396
85,KNN,0,0.375472,0.484185,0.422954
86,KNN,1,0.510448,0.740260,0.604240
87,KNN,2,0.454545,0.324519,0.378682
88,KNN,3,0.498008,0.288018,0.364964
89,KNN,4,1.000000,0.942792,0.970554
90,KNN,0,0.356021,0.471132,0.405567
91,KNN,1,0.441130,0.680387,0.535238
92,KNN,2,0.525994,0.369099,0.433796
93,KNN,3,0.537815,0.292906,0.379259
94,KNN,4,1.000000,0.936740,0.967337
95,KNN,0,0.414159,0.513158,0.458374
96,KNN,1,0.484352,0.720621,0.579323
97,KNN,2,0.466431,0.305556,0.369231
98,KNN,3,0.487903,0.298765,0.370597
99,KNN,4,0.997455,0.942308,0.969098
100,Bagging,0,0.630197,0.654545,0.642140
101,Bagging,1,0.668627,0.878866,0.759465
102,Bagging,2,0.734748,0.644186,0.686493
