"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.275610,0.256818,0.265882
1,RandomForest,1,0.318996,0.458763,0.376321
2,RandomForest,2,0.281796,0.262791,0.271961
3,RandomForest,3,0.293255,0.221239,0.252207
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.253731,0.283333,0.267717
6,RandomForest,1,0.403050,0.414798,0.408840
7,RandomForest,2,0.256927,0.245192,0.250923
8,RandomForest,3,0.259640,0.233796,0.246041
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.255319,0.291971,0.272418
11,RandomForest,1,0.397590,0.428571,0.412500
12,RandomForest,2,0.255051,0.242788,0.248768
13,RandomForest,3,0.272981,0.225806,0.247163
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.273292,0.304850,0.288210
16,RandomForest,1,0.346774,0.416465,0.378438
17,RandomForest,2,0.289474,0.236052,0.260047
18,RandomForest,3,0.258974,0.231121,0.244256
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.289157,0.263158,0.275545
21,RandomForest,1,0.377358,0.399113,0.387931
22,RandomForest,2,0.233577,0.222222,0.227758
23,RandomForest,3,0.238095,0.259259,0.248227
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.000000,0.000000,0.000000
26,SVM,1,0.221083,1.000000,0.362109
27,SVM,2,0.000000,0.000000,0.000000
28,SVM,3,0.000000,0.000000,0.000000
29,SVM,4,1.000000,0.888889,0.941176
30,SVM,0,0.236320,0.709524,0.354551
31,SVM,1,0.320442,0.130045,0.185008
32,SVM,2,0.217666,0.165865,0.188267
33,SVM,3,0.000000,0.000000,0.000000
34,SVM,4,1.000000,0.899103,0.946871
35,SVM,0,0.239549,0.878345,0.376434
36,SVM,1,0.303644,0.162338,0.211566
37,SVM,2,0.666667,0.009615,0.018957
38,SVM,3,0.333333,0.002304,0.004577
39,SVM,4,1.000000,0.908467,0.952038
40,SVM,0,0.239323,0.685912,0.354839
41,SVM,1,0.255578,0.305085,0.278146
42,SVM,2,0.000000,0.000000,0.000000
43,SVM,3,0.217391,0.022883,0.041408
44,SVM,4,1.000000,0.922141,0.959494
45,SVM,0,0.000000,0.000000,0.000000
46,SVM,1,0.302632,0.152993,0.203240
47,SVM,2,0.000000,0.000000,0.000000
48,SVM,3,0.230669,0.876543,0.365226
49,SVM,4,1.000000,0.944712,0.971570
50,NaiveBayes,0,0.258038,0.711364,0.378705
51,NaiveBayes,1,0.212766,0.077320,0.113422
52,NaiveBayes,2,0.284314,0.067442,0.109023
53,NaiveBayes,3,0.224771,0.108407,0.146269
54,NaiveBayes,4,0.827160,0.893333,0.858974
55,NaiveBayes,0,0.247191,0.733333,0.369748
56,NaiveBayes,1,0.247191,0.147982,0.185133
57,NaiveBayes,2,0.000000,0.000000,0.000000
58,NaiveBayes,3,0.189873,0.069444,0.101695
59,NaiveBayes,4,0.807377,0.883408,0.843683
60,NaiveBayes,0,0.245942,0.737226,0.368837
61,NaiveBayes,1,0.230469,0.127706,0.164345
62,NaiveBayes,2,0.000000,0.000000,0.000000
63,NaiveBayes,3,0.166667,0.073733,0.102236
64,NaiveBayes,4,0.827083,0.908467,0.865867
65,NaiveBayes,0,0.246365,0.704388,0.365051
66,NaiveBayes,1,0.500000,0.007264,0.014320
67,NaiveBayes,2,0.220149,0.126609,0.160763
68,NaiveBayes,3,0.220339,0.089245,0.127036
69,NaiveBayes,4,0.794055,0.909976,0.848073
70,NaiveBayes,0,0.000000,0.000000,0.000000
71,NaiveBayes,1,0.000000,0.000000,0.000000
72,NaiveBayes,2,0.240783,0.740741,0.363430
73,NaiveBayes,3,0.221893,0.185185,0.201884
74,NaiveBayes,4,0.801653,0.932692,0.862222
75,KNN,0,0.267025,0.338636,0.298597
76,KNN,1,0.292871,0.391753,0.335171
77,KNN,2,0.258065,0.223256,0.239401
78,KNN,3,0.321839,0.185841,0.235624
79,KNN,4,1.000000,1.000000,1.000000
80,KNN,0,0.265574,0.385714,0.314563
81,KNN,1,0.306723,0.327354,0.316703
82,KNN,2,0.262873,0.233173,0.247134
83,KNN,3,0.277992,0.166667,0.208394
84,KNN,4,1.000000,1.000000,1.000000
85,KNN,0,0.264758,0.360097,0.305155
86,KNN,1,0.346080,0.391775,0.367513
87,KNN,2,0.266839,0.247596,0.256858
88,KNN,3,0.317647,0.186636,0.235123
89,KNN,4,1.000000,1.000000,1.000000
90,KNN,0,0.241739,0.321016,0.275794
91,KNN,1,0.278846,0.351090,0.310825
92,KNN,2,0.255875,0.210300,0.230860
93,KNN,3,0.287823,0.178490,0.220339
94,KNN,4,1.000000,1.000000,1.000000
95,KNN,0,0.274956,0.344298,0.305745
96,KNN,1,0.343985,0.405765,0.372330
97,KNN,2,0.241983,0.192130,0.214194
98,KNN,3,0.248322,0.182716,0.210526
99,KNN,4,1.000000,1.000000,1.000000
100,Bagging,0,0.300000,0.306818,0.303371
101,Bagging,1,0.330998,0.487113,0.394161
102,Bagging,2,0.264463,0.223256,0.242119
103,Bagging,3,0.260736,0.188053,0.218509
104,Bagging,4,1.000000,1.000000,1.000000
105,Bagging,0,0.285115,0.323810,0.303233
106,Bagging,1,0.411111,0.414798,0.412946
107,Bagging,2,0.276712,0.242788,0.258643
108,Bagging,3,0.270142,0.263889,0.266979
109,Bagging,4,1.000000,1.000000,1.000000
110,Bagging,0,0.297180,0.333333,0.314220
111,Bagging,1,0.401247,0.417749,0.409332
112,Bagging,2,0.280193,0.278846,0.279518
113,Bagging,3,0.305177,0.258065,0.279650
114,Bagging,4,1.000000,1.000000,1.000000
115,Bagging,0,0.272374,0.323326,0.295671
116,Bagging,1,0.362903,0.435835,0.396040
117,Bagging,2,0.263852,0.214592,0.236686
118,Bagging,3,0.277778,0.228833,0.250941
119,Bagging,4,1.000000,1.000000,1.000000
120,Bagging,0,0.304444,0.300439,0.302428
121,Bagging,1,0.401623,0.439024,0.419492
122,Bagging,2,0.278607,0.259259,0.268585
123,Bagging,3,0.258145,0.254321,0.256219
124,Bagging,4,1.000000,1.000000,1.000000
125,AdaBoost,0,0.500000,0.004545,0.009009
126,AdaBoost,1,0.250708,0.912371,0.393333
127,AdaBoost,2,0.400000,0.013953,0.026966
128,AdaBoost,3,0.320144,0.196903,0.243836
129,AdaBoost,4,0.997783,1.000000,0.998890
130,AdaBoost,0,0.298611,0.204762,0.242938
131,AdaBoost,1,0.657143,0.051570,0.095634
132,AdaBoost,2,0.245640,0.812500,0.377232
133,AdaBoost,3,0.133333,0.004630,0.008949
134,AdaBoost,4,1.000000,1.000000,1.000000
135,AdaBoost,0,0.248880,0.946472,0.394124
136,AdaBoost,1,0.517857,0.062771,0.111969
137,AdaBoost,2,0.000000,0.000000,0.000000
138,AdaBoost,3,0.306931,0.071429,0.115888
139,AdaBoost,4,0.995444,1.000000,0.997717
140,AdaBoost,0,0.334426,0.235566,0.276423
141,AdaBoost,1,0.268344,0.929782,0.416486
142,AdaBoost,2,0.600000,0.006438,0.012739
143,AdaBoost,3,0.142857,0.002288,0.004505
144,AdaBoost,4,0.997573,1.000000,0.998785
145,AdaBoost,0,0.334601,0.192982,0.244784
146,AdaBoost,1,0.517647,0.097561,0.164179
147,AdaBoost,2,0.000000,0.000000,0.000000
148,AdaBoost,3,0.228510,0.787654,0.354248
149,AdaBoost,4,1.000000,1.000000,1.000000
