"",Model,Class,Precision,Recall,F1-Score
0,RandomForest,0,0.285714,0.263636,0.274232
1,RandomForest,1,0.388298,0.564433,0.460084
2,RandomForest,2,0.286070,0.267442,0.276442
3,RandomForest,3,0.325444,0.243363,0.278481
4,RandomForest,4,1.000000,1.000000,1.000000
5,RandomForest,0,0.276860,0.319048,0.296460
6,RandomForest,1,0.470348,0.515695,0.491979
7,RandomForest,2,0.277778,0.264423,0.270936
8,RandomForest,3,0.275362,0.219907,0.244530
9,RandomForest,4,1.000000,1.000000,1.000000
10,RandomForest,0,0.270386,0.306569,0.287343
11,RandomForest,1,0.484472,0.506494,0.495238
12,RandomForest,2,0.300000,0.295673,0.297821
13,RandomForest,3,0.274725,0.230415,0.250627
14,RandomForest,4,1.000000,1.000000,1.000000
15,RandomForest,0,0.312500,0.311778,0.312139
16,RandomForest,1,0.420744,0.520581,0.465368
17,RandomForest,2,0.274809,0.231760,0.251455
18,RandomForest,3,0.292978,0.276888,0.284706
19,RandomForest,4,1.000000,1.000000,1.000000
20,RandomForest,0,0.302600,0.280702,0.291240
21,RandomForest,1,0.463768,0.496674,0.479657
22,RandomForest,2,0.272959,0.247685,0.259709
23,RandomForest,3,0.262332,0.288889,0.274971
24,RandomForest,4,1.000000,1.000000,1.000000
25,SVM,0,0.000000,0.000000,0.000000
26,SVM,1,0.220329,1.000000,0.361098
27,SVM,2,0.000000,0.000000,0.000000
28,SVM,3,0.000000,0.000000,0.000000
29,SVM,4,1.000000,0.886667,0.939929
30,SVM,0,0.235479,0.714286,0.354191
31,SVM,1,0.285714,0.139013,0.187029
32,SVM,2,0.216418,0.139423,0.169591
33,SVM,3,0.000000,0.000000,0.000000
34,SVM,4,1.000000,0.899103,0.946871
35,SVM,0,0.239754,0.854015,0.374400
36,SVM,1,0.293907,0.177489,0.221323
37,SVM,2,0.285714,0.014423,0.027460
38,SVM,3,0.000000,0.000000,0.000000
39,SVM,4,1.000000,0.906178,0.950780
40,SVM,0,0.240770,0.692841,0.357356
41,SVM,1,0.242424,0.309927,0.272051
42,SVM,2,0.000000,0.000000,0.000000
43,SVM,3,0.333333,0.006865,0.013453
44,SVM,4,1.000000,0.914842,0.955527
45,SVM,0,0.000000,0.000000,0.000000
46,SVM,1,0.331707,0.150776,0.207317
47,SVM,2,0.000000,0.000000,0.000000
48,SVM,3,0.227913,0.879012,0.361973
49,SVM,4,1.000000,0.944712,0.971570
50,NaiveBayes,0,0.264257,0.747727,0.390504
51,NaiveBayes,1,0.298165,0.167526,0.214521
52,NaiveBayes,2,0.500000,0.009302,0.018265
53,NaiveBayes,3,0.258537,0.117257,0.161339
54,NaiveBayes,4,0.828512,0.891111,0.858672
55,NaiveBayes,0,0.243089,0.711905,0.362424
56,NaiveBayes,1,0.238506,0.186099,0.209068
57,NaiveBayes,2,0.000000,0.000000,0.000000
58,NaiveBayes,3,0.287234,0.062500,0.102662
59,NaiveBayes,4,0.807377,0.883408,0.843683
60,NaiveBayes,0,0.245928,0.734793,0.368517
61,NaiveBayes,1,0.236620,0.181818,0.205630
62,NaiveBayes,2,0.000000,0.000000,0.000000
63,NaiveBayes,3,0.239583,0.052995,0.086792
64,NaiveBayes,4,0.825364,0.908467,0.864924
65,NaiveBayes,0,0.247278,0.734411,0.369983
66,NaiveBayes,1,0.250000,0.055690,0.091089
67,NaiveBayes,2,0.217712,0.126609,0.160109
68,NaiveBayes,3,0.292683,0.027460,0.050209
69,NaiveBayes,4,0.795745,0.909976,0.849035
70,NaiveBayes,0,0.000000,0.000000,0.000000
71,NaiveBayes,1,0.311927,0.075388,0.121429
72,NaiveBayes,2,0.244964,0.703704,0.363419
73,NaiveBayes,3,0.230061,0.185185,0.205198
74,NaiveBayes,4,0.801653,0.932692,0.862222
75,KNN,0,0.272887,0.352273,0.307540
76,KNN,1,0.338346,0.463918,0.391304
77,KNN,2,0.277778,0.232558,0.253165
78,KNN,3,0.292000,0.161504,0.207977
79,KNN,4,1.000000,1.000000,1.000000
80,KNN,0,0.251256,0.357143,0.294985
81,KNN,1,0.348936,0.367713,0.358079
82,KNN,2,0.225464,0.204327,0.214376
83,KNN,3,0.262963,0.164352,0.202279
84,KNN,4,1.000000,1.000000,1.000000
85,KNN,0,0.257143,0.350365,0.296601
86,KNN,1,0.364562,0.387446,0.375656
87,KNN,2,0.271574,0.257212,0.264198
88,KNN,3,0.251799,0.161290,0.196629
89,KNN,4,1.000000,1.000000,1.000000
90,KNN,0,0.264151,0.355658,0.303150
91,KNN,1,0.335306,0.411622,0.369565
92,KNN,2,0.261780,0.214592,0.235849
93,KNN,3,0.238267,0.151030,0.184874
94,KNN,4,1.000000,1.000000,1.000000
95,KNN,0,0.281139,0.346491,0.310413
96,KNN,1,0.346667,0.403548,0.372951
97,KNN,2,0.218997,0.192130,0.204686
98,KNN,3,0.266187,0.182716,0.216691
99,KNN,4,1.000000,1.000000,1.000000
100,Bagging,0,0.305618,0.309091,0.307345
101,Bagging,1,0.397770,0.551546,0.462203
102,Bagging,2,0.304455,0.286047,0.294964
103,Bagging,3,0.294118,0.210177,0.245161
104,Bagging,4,1.000000,1.000000,1.000000
105,Bagging,0,0.266112,0.304762,0.284129
106,Bagging,1,0.500000,0.517937,0.508811
107,Bagging,2,0.278689,0.286058,0.282325
108,Bagging,3,0.273256,0.217593,0.242268
109,Bagging,4,1.000000,1.000000,1.000000
110,Bagging,0,0.276371,0.318735,0.296045
111,Bagging,1,0.493014,0.534632,0.512980
112,Bagging,2,0.295165,0.278846,0.286774
113,Bagging,3,0.318310,0.260369,0.286439
114,Bagging,4,1.000000,1.000000,1.000000
115,Bagging,0,0.297917,0.330254,0.313253
116,Bagging,1,0.410584,0.544794,0.468262
117,Bagging,2,0.318436,0.244635,0.276699
118,Bagging,3,0.258953,0.215103,0.235000
119,Bagging,4,1.000000,1.000000,1.000000
120,Bagging,0,0.284337,0.258772,0.270953
121,Bagging,1,0.452525,0.496674,0.473573
122,Bagging,2,0.315136,0.293981,0.304192
123,Bagging,3,0.238979,0.254321,0.246411
124,Bagging,4,1.000000,1.000000,1.000000
125,AdaBoost,0,0.272399,0.856818,0.413377
126,AdaBoost,1,0.396694,0.247423,0.304762
127,AdaBoost,2,0.000000,0.000000,0.000000
128,AdaBoost,3,0.265060,0.048673,0.082243
129,AdaBoost,4,0.997783,1.000000,0.998890
130,AdaBoost,0,0.312903,0.230952,0.265753
131,AdaBoost,1,0.568182,0.056054,0.102041
132,AdaBoost,2,0.244745,0.783654,0.372998
133,AdaBoost,3,0.115385,0.006944,0.013100
134,AdaBoost,4,0.995536,1.000000,0.997763
135,AdaBoost,0,0.235008,0.705596,0.352584
136,AdaBoost,1,0.467742,0.062771,0.110687
137,AdaBoost,2,0.306723,0.175481,0.223242
138,AdaBoost,3,0.322581,0.138249,0.193548
139,AdaBoost,4,0.993182,1.000000,0.996579
140,AdaBoost,0,0.400000,0.004619,0.009132
141,AdaBoost,1,0.313853,0.351090,0.331429
142,AdaBoost,2,0.350000,0.015021,0.028807
143,AdaBoost,3,0.264659,0.764302,0.393172
144,AdaBoost,4,1.000000,1.000000,1.000000
145,AdaBoost,0,0.000000,0.000000,0.000000
146,AdaBoost,1,0.525424,0.068736,0.121569
147,AdaBoost,2,0.319635,0.162037,0.215054
148,AdaBoost,3,0.226776,0.819753,0.355270
149,AdaBoost,4,0.995215,1.000000,0.997602
